Model,Iteration,MAE,MAPE,RMSE,MSE,R²,MBE,Time_Taken,Training_Rows,Test_Rows,Predicted_At
Prophet,1,1823.327063048095,0.0641233531518811,2232.177717601946,4982617.362958632,0.1225903356722463,,33.14979028701782,52584,336,2025-01-16T10:07:24.551930
Prophet,2,1823.327063048095,0.0641233531518811,2232.177717601946,4982617.362958632,0.1225903356722463,,30.29755449295044,52584,336,2025-01-16T10:08:04.250278
Prophet,3,1823.327063048095,0.0641233531518811,2232.177717601946,4982617.362958632,0.1225903356722463,,32.44563579559326,52584,336,2025-01-16T10:08:37.236908
Prophet,1,1823.327063048095,0.0641233531518811,2232.177717601946,4982617.362958632,0.1225903356722463,,31.91047239303589,52584,336,2025-01-16T10:19:46.114657
Prophet,2,1823.327063048095,0.0641233531518811,2232.177717601946,4982617.362958632,0.1225903356722463,,31.733014583587646,52584,336,2025-01-16T10:20:24.904999
Prophet,3,1823.327063048095,0.0641233531518811,2232.177717601946,4982617.362958632,0.12259033567224631,,31.291168451309204,52584,336,2025-01-16T10:20:59.473942
