Model,Iteration,MAE,MAPE,RMSE,MSE,Time_Taken,Predicted_At
Darts Theta,1,1649.6439697579017,0.0575726583226393,2048.479790845954,4196269.453504283,0.6291308403015137,2025-01-16T10:07:24.551930
Darts Theta,2,1649.6439697579017,0.0575726583226393,2048.479790845954,4196269.453504283,0.6350817680358887,2025-01-16T10:08:04.250278
Darts Theta,3,1649.6439697579017,0.0575726583226393,2048.479790845954,4196269.453504283,0.6256370544433594,2025-01-16T10:08:37.236908
Darts Theta,1,1649.6439697579017,0.0575726583226393,2048.479790845954,4196269.453504283,0.637643575668335,2025-01-16T10:19:46.114657
Darts Theta,2,1649.6439697579017,0.0575726583226393,2048.479790845954,4196269.453504283,0.6457455158233643,2025-01-16T10:20:24.904999
Darts Theta,3,1649.6439697579017,0.057572658322639345,2048.479790845954,4196269.453504283,0.6631112098693848,2025-01-16T10:20:59.473942
