Metric,Mean,StdDev,Count,Min,Max,Last Updated At
MAE,3603.7335663574413,412.5175469686663,4,3270.913581481555,4120.1776378069535,2025-01-19 21:18:47
MAPE,0.10664056582770029,0.011004423457904288,4,0.0980972733059847,0.1211563209267878,2025-01-19 21:18:47
RMSE,4730.108741214954,445.6943964132333,4,4355.100317906422,5234.355732244322,2025-01-19 21:18:47
MSE,22522911.324963722,4245128.867399076,4,18966898.779028613,27398479.93167899,2025-01-19 21:18:47
R²,0.4324734122454862,0.10696767686612832,4,0.3096200752674523,0.5220769114152386,2025-01-19 21:18:47
MBE,-120.42633104186035,502.8355235753177,4,-818.218458929646,247.14772170328945,2025-01-19 21:18:47
