date,name
2020-01-01,New Year's Day
2020-01-20,Martin Luther King Jr. Day
2020-02-15,Susan B. Anthony Day
2020-02-17,Washington's Birthday
2020-03-31,Cesar Chavez Day
2020-05-25,Memorial Day
2020-07-03,Independence Day (observed)
2020-07-04,Independence Day
2020-09-07,Labor Day
2020-11-11,Veterans Day
2020-11-26,Thanksgiving
2020-11-27,Day After Thanksgiving
2020-12-25,Christmas Day
