date,name
2022-01-01,New Year's Day
2022-01-17,Martin Luther King Jr. Day
2022-02-15,Susan B. Anthony Day
2022-02-21,Washington's Birthday
2022-03-31,Cesar Chavez Day
2022-05-30,Memorial Day
2022-06-19,Juneteenth National Independence Day
2022-06-20,Juneteenth National Independence Day (observed)
2022-07-04,Independence Day
2022-09-05,Labor Day
2022-11-11,Veterans Day
2022-11-24,Thanksgiving
2022-11-25,Day After Thanksgiving
2022-12-25,Christmas Day
2022-12-26,Christmas Day (observed)
