date,name
2023-01-01,New Year's Day
2023-01-02,New Year's Day (observed)
2023-01-16,Martin Luther King Jr. Day
2023-02-15,Susan B. Anthony Day
2023-02-20,Washington's Birthday
2023-03-31,Cesar Chavez Day
2023-05-29,Memorial Day
2023-06-19,Juneteenth National Independence Day
2023-07-04,Independence Day
2023-09-04,Labor Day
2023-11-10,Veterans Day (observed)
2023-11-11,Veterans Day
2023-11-23,Thanksgiving
2023-11-24,Day After Thanksgiving
2023-12-25,Christmas Day
