date,name
2024-01-01,New Year's Day
2024-01-15,Martin Luther King Jr. Day
2024-02-15,Susan B. Anthony Day
2024-02-19,Washington's Birthday
2024-03-31,Cesar Chavez Day
2024-05-27,Memorial Day
2024-06-19,Juneteenth National Independence Day
2024-07-04,Independence Day
2024-09-02,Labor Day
2024-11-11,Veterans Day
2024-11-28,Thanksgiving
2024-11-29,Day After Thanksgiving
2024-12-25,Christmas Day
