date,name
2019-01-01,New Year's Day
2019-01-21,Martin Luther King Jr. Day
2019-02-15,Susan B. Anthony Day
2019-02-18,Washington's Birthday
2019-03-31,Cesar Chavez Day
2019-05-27,Memorial Day
2019-07-04,Independence Day
2019-09-02,Labor Day
2019-11-11,Veterans Day
2019-11-28,Thanksgiving
2019-11-29,Day After Thanksgiving
2019-12-25,Christmas Day
