datetime,temp,feelslike,humidity,windspeed,cloudcover,solaradiation,precip,preciptype
2020-01-01 00:00:00,7.8,7.1,86.33,5.6,8.7,0.0,0.0,none
2020-01-01 01:00:00,6.3,6.3,92.32,0.5,8.7,0.0,0.0,none
2020-01-01 02:00:00,6.2,6.2,92.32,0.5,8.7,0.0,0.0,none
2020-01-01 03:00:00,5.8,4.7,95.57,5.8,8.7,0.0,0.0,none
2020-01-01 04:00:00,6.1,5.5,92.25,4.9,5.0,0.0,0.0,none
2020-01-01 05:00:00,5.2,5.2,92.37,0.5,5.0,0.0,0.0,none
2020-01-01 06:00:00,6.2,6.2,92.64,0.0,8.7,0.0,0.0,none
2020-01-01 07:00:00,7.2,6.0,90.11,6.8,8.7,3.0,0.0,none
2020-01-01 08:00:00,7.3,5.4,89.43,9.7,8.7,2.0,0.0,none
2020-01-01 09:00:00,8.3,7.9,86.39,4.9,2.5,70.0,0.0,none
2020-01-01 10:00:00,10.0,8.5,80.38,11.0,5.0,289.0,0.0,none
2020-01-01 11:00:00,11.7,11.7,71.94,0.0,2.5,352.0,0.0,none
2020-01-01 12:00:00,12.8,12.8,71.63,8.4,2.5,522.0,0.0,none
2020-01-01 13:00:00,14.3,14.3,67.21,0.0,88.7,558.0,0.0,none
2020-01-01 14:00:00,13.8,13.8,69.66,6.1,82.5,336.0,0.0,none
2020-01-01 15:00:00,13.2,13.2,72.48,9.5,8.7,156.0,0.0,none
2020-01-01 16:00:00,12.7,12.7,76.95,11.2,8.7,95.0,0.0,none
2020-01-01 17:00:00,11.1,11.1,83.16,7.6,8.7,32.0,0.0,none
2020-01-01 18:00:00,9.3,9.3,86.8,0.0,5.0,1.0,0.0,none
2020-01-01 19:00:00,9.8,9.4,87.5,5.6,8.7,0.0,0.0,none
2020-01-01 20:00:00,9.7,9.7,87.49,0.9,88.7,0.0,0.0,none
2020-01-01 21:00:00,8.3,8.3,96.59,0.9,8.7,0.0,0.0,none
2020-01-01 22:00:00,7.3,5.9,92.96,7.7,2.5,0.0,0.0,none
2020-01-01 23:00:00,7.1,5.8,96.96,7.3,2.5,0.0,0.0,none
2020-01-02 00:00:00,6.6,6.6,93.18,1.1,2.5,0.0,0.0,none
2020-01-02 01:00:00,5.4,3.8,95.62,7.3,89.9,0.0,0.0,none
2020-01-02 02:00:00,4.9,4.9,92.74,0.0,98.1,0.0,0.0,none
2020-01-02 03:00:00,4.3,2.8,96.55,6.1,8.7,0.0,0.0,none
2020-01-02 04:00:00,4.9,3.0,95.72,8.3,98.1,0.0,0.0,none
2020-01-02 05:00:00,5.6,3.7,95.56,8.4,98.1,1.0,0.0,none
2020-01-02 06:00:00,5.5,3.8,91.84,7.6,8.7,0.0,0.0,none
2020-01-02 07:00:00,4.9,3.0,96.05,7.9,2.5,13.0,0.0,none
2020-01-02 08:00:00,5.1,5.1,95.59,1.3,5.0,12.0,0.0,none
2020-01-02 09:00:00,7.3,6.3,92.96,6.1,5.0,101.0,0.0,none
2020-01-02 10:00:00,8.8,8.8,86.69,1.3,5.0,259.0,0.0,none
2020-01-02 11:00:00,10.6,10.6,77.25,10.1,8.7,372.0,0.0,none
2020-01-02 12:00:00,12.8,12.8,68.87,13.0,8.7,468.0,0.0,none
2020-01-02 13:00:00,14.0,14.0,61.87,13.7,8.7,550.0,0.0,none
2020-01-02 14:00:00,16.1,16.1,53.56,18.8,5.0,498.0,0.0,none
2020-01-02 15:00:00,17.2,17.2,46.66,18.6,5.0,426.0,0.0,none
2020-01-02 16:00:00,16.6,16.6,41.63,18.6,2.5,280.0,0.0,none
2020-01-02 17:00:00,14.3,14.3,46.9,13.1,8.7,76.0,0.0,none
2020-01-02 18:00:00,12.6,12.6,53.79,9.2,5.0,1.0,0.0,none
2020-01-02 19:00:00,10.5,10.5,66.42,5.6,5.0,0.0,0.0,none
2020-01-02 20:00:00,8.8,8.5,76.67,4.9,5.0,0.0,0.0,none
2020-01-02 21:00:00,7.3,6.5,81.42,5.6,2.5,0.0,0.0,none
2020-01-02 22:00:00,7.2,7.2,82.03,0.9,2.5,0.0,0.0,none
2020-01-02 23:00:00,7.8,7.0,78.86,5.8,2.5,0.0,0.0,none
2020-01-03 00:00:00,7.8,6.4,85.56,7.9,2.5,0.0,0.0,none
2020-01-03 01:00:00,7.7,6.4,86.21,7.9,2.5,0.0,0.0,none
2020-01-03 02:00:00,7.7,7.7,86.21,0.7,5.0,0.0,0.0,none
2020-01-03 03:00:00,6.1,6.1,92.19,0.0,5.0,1.0,0.0,none
2020-01-03 04:00:00,6.0,6.0,89.03,0.0,5.0,0.0,0.0,none
2020-01-03 05:00:00,4.9,4.9,93.06,0.0,2.5,0.0,0.0,none
2020-01-03 06:00:00,4.3,4.3,93.53,0.5,2.5,0.0,0.0,none
2020-01-03 07:00:00,3.8,3.8,93.84,0.7,2.5,10.0,0.0,none
2020-01-03 08:00:00,3.8,3.8,93.19,0.5,8.7,6.0,0.0,none
2020-01-03 09:00:00,6.6,6.6,89.41,0.5,8.7,85.0,0.0,none
2020-01-03 10:00:00,9.8,9.8,80.63,0.0,8.7,272.0,0.0,none
2020-01-03 11:00:00,11.7,11.7,71.94,0.0,8.7,331.0,0.0,none
2020-01-03 12:00:00,13.8,13.8,64.94,0.0,8.7,496.0,0.0,none
2020-01-03 13:00:00,14.3,14.3,62.88,0.0,8.7,500.0,0.0,none
