datetime,temp,feelslike,humidity,windspeed,cloudcover,solaradiation,precip,preciptype
2025-01-06 23:00:00,8.9,6.8,89.7,13.0,13.0,0.0,0.0,none
2025-01-06 22:00:00,8.9,6.8,92.81,13.0,13.0,0.0,0.0,none
2025-01-06 21:00:00,9.5,8.5,92.85,7.6,34.0,0.0,0.0,rain
2025-01-06 20:00:00,10.0,9.1,92.87,7.6,34.0,0.0,0.0,rain
2025-01-06 19:00:00,10.6,10.6,92.91,7.6,34.0,0.0,0.0,none
2025-01-06 18:00:00,11.7,11.7,89.31,9.4,40.0,0.0,0.0,none
2025-01-06 17:00:00,12.8,12.8,83.08,9.4,40.0,0.0,0.0,none
2025-01-06 16:00:00,13.4,13.4,83.15,9.4,40.0,0.0,0.0,none
2025-01-06 15:00:00,13.9,13.9,77.33,9.4,31.0,0.0,0.0,rain
2025-01-06 14:00:00,13.4,13.4,79.89,9.4,33.0,0.0,0.0,rain
2025-01-06 13:00:00,12.8,12.8,83.08,9.4,39.0,0.0,0.0,none
2025-01-06 12:00:00,12.3,12.3,85.85,7.6,37.0,0.0,0.0,none
2025-01-06 11:00:00,10.0,9.6,92.87,5.4,52.0,0.0,0.0,rain
2025-01-06 10:00:00,8.4,8.4,100.0,3.6,51.0,0.0,0.0,rain
2025-01-06 09:00:00,7.3,7.3,100.0,3.6,55.0,0.0,0.0,none
2025-01-06 08:00:00,6.2,6.2,100.0,3.6,61.0,0.0,0.0,rain
2025-01-06 07:00:00,5.6,5.6,100.0,3.6,68.0,0.0,0.0,none
2025-01-06 06:00:00,6.2,6.2,95.94,1.8,64.0,0.0,0.0,none
2025-01-06 05:00:00,6.2,6.2,95.94,1.8,51.0,0.0,0.0,none
2025-01-06 04:00:00,6.2,6.2,100.0,1.8,44.0,0.0,0.0,none
2025-01-06 03:00:00,6.2,6.2,95.94,1.8,42.0,0.0,0.0,none
2025-01-06 02:00:00,6.2,6.2,100.0,1.8,37.0,0.0,0.0,none
2025-01-06 01:00:00,6.2,6.2,95.94,1.8,30.0,0.0,0.0,none
2025-01-06 00:00:00,6.7,6.7,100.0,1.8,34.0,0.0,0.0,none
2025-01-05 23:00:00,7.3,7.3,95.97,1.8,27.0,0.0,0.0,none
2025-01-05 22:00:00,7.8,7.8,96.65,3.6,22.0,0.0,0.0,none
2025-01-05 21:00:00,8.4,8.4,96.01,1.8,31.0,0.0,0.0,none
2025-01-05 20:00:00,8.5,7.2,82.69,8.1,6.8,0.0,0.0,none
2025-01-05 19:00:00,9.4,9.4,80.66,0.6,6.8,0.0,0.0,none
2025-01-05 18:00:00,11.5,11.5,72.03,7.2,12.0,0.0,0.0,none
2025-01-05 17:00:00,12.6,12.6,66.74,7.0,6.8,0.0,0.0,none
2025-01-05 16:00:00,14.4,14.4,59.38,5.9,6.8,0.0,0.0,none
2025-01-05 15:00:00,14.5,14.5,58.85,1.1,11.5,0.0,0.0,none
2025-01-05 14:00:00,14.3,14.3,59.02,5.9,11.5,0.0,0.0,none
2025-01-05 13:00:00,13.9,13.9,65.27,0.5,6.5,0.0,0.0,none
2025-01-05 12:00:00,13.2,13.2,68.79,2.1,6.5,0.0,0.0,none
2025-01-05 11:00:00,11.8,11.8,76.68,7.2,17.1,0.0,0.0,none
2025-01-05 10:00:00,9.6,8.9,84.5,6.4,17.1,0.0,0.0,none
2025-01-05 09:00:00,7.2,7.2,92.83,1.0,22.0,0.0,0.0,none
2025-01-05 08:00:00,3.6,3.6,96.59,0.8,20.6,0.0,0.0,none
2025-01-05 07:00:00,3.3,2.0,93.14,5.6,16.4,0.0,0.0,none
2025-01-05 06:00:00,3.6,3.6,96.53,0.7,28.8,0.0,0.0,none
2025-01-05 05:00:00,4.0,4.0,96.0,0.8,13.8,0.0,0.0,none
2025-01-05 04:00:00,4.2,4.2,95.84,0.0,13.8,0.0,0.0,none
2025-01-05 03:00:00,4.6,4.6,95.36,0.0,13.8,0.0,0.0,rain
2025-01-05 02:00:00,5.2,5.2,94.48,0.7,27.6,0.0,0.0,rain
2025-01-05 01:00:00,5.9,5.0,91.38,5.5,86.7,0.0,0.0,none
2025-01-05 00:00:00,7.0,7.0,90.09,0.8,16.7,0.0,0.0,none
2025-01-04 23:00:00,7.5,6.9,91.62,5.1,74.3,0.0,0.0,none
2025-01-04 22:00:00,7.5,7.5,89.78,1.5,5.1,0.0,0.0,none
2025-01-04 21:00:00,6.9,5.8,92.78,6.2,11.5,0.0,0.0,none
2025-01-04 20:00:00,7.4,6.8,89.61,5.0,11.5,0.0,0.0,none
2025-01-04 19:00:00,8.3,8.3,84.49,1.5,13.5,0.0,0.0,none
2025-01-04 18:00:00,9.1,9.1,80.9,1.3,11.5,0.0,0.0,none
2025-01-04 17:00:00,11.6,11.6,73.42,9.9,38.9,0.0,0.0,none
2025-01-04 16:00:00,13.0,13.0,63.83,11.7,11.5,0.0,0.0,none
2025-01-04 15:00:00,13.5,13.5,62.14,11.4,11.5,0.0,0.0,none
