datetime,temp,feelslike,humidity,windspeed,cloudcover,solaradiation,precip,preciptype
2022-01-01 00:00:00,3.3,0.6,85.2,10.3,0.0,0.0,0.0,none
2022-01-01 01:00:00,3.2,-0.4,85.43,14.8,0.0,0.0,0.0,none
2022-01-01 02:00:00,2.8,-0.3,85.01,11.7,0.0,0.0,0.0,none
2022-01-01 03:00:00,2.1,-1.5,85.2,13.1,0.0,0.0,0.0,none
2022-01-01 04:00:00,2.2,-1.7,85.14,14.6,0.0,0.0,0.0,none
2022-01-01 05:00:00,1.8,-1.2,83.71,10.1,0.0,0.0,0.0,none
2022-01-01 06:00:00,1.8,-0.9,83.41,9.0,0.0,0.0,0.0,none
2022-01-01 07:00:00,2.2,-1.7,78.15,14.6,2.5,0.0,0.0,none
2022-01-01 08:00:00,2.1,-2.5,78.75,19.2,2.5,28.0,0.0,none
2022-01-01 09:00:00,3.3,0.4,72.1,11.2,2.5,108.0,0.0,none
2022-01-01 10:00:00,5.0,2.0,66.68,13.7,2.5,314.0,0.0,none
2022-01-01 11:00:00,6.7,4.9,59.39,9.2,2.5,433.0,0.0,none
2022-01-01 12:00:00,7.9,7.1,55.19,5.8,0.0,492.0,0.0,none
2022-01-01 13:00:00,8.8,8.8,48.06,0.9,0.0,532.0,0.0,none
2022-01-01 14:00:00,9.9,9.9,41.59,0.5,0.0,325.0,0.0,none
2022-01-01 15:00:00,10.5,10.5,41.56,0.5,0.0,294.0,0.0,none
2022-01-01 16:00:00,9.8,9.8,37.44,0.7,0.0,59.0,0.0,none
2022-01-01 17:00:00,7.8,6.7,53.0,6.8,0.0,17.0,0.0,none
2022-01-01 18:00:00,5.1,5.1,66.89,0.0,0.0,1.0,0.0,none
2022-01-01 19:00:00,4.0,2.7,74.36,5.8,0.0,0.0,0.0,none
2022-01-01 20:00:00,3.1,1.6,76.35,5.6,0.0,0.0,0.0,none
2022-01-01 21:00:00,3.8,2.6,72.2,5.6,0.0,0.0,0.0,none
2022-01-01 22:00:00,1.8,1.8,83.66,0.5,0.0,0.0,0.0,none
2022-01-01 23:00:00,1.7,1.7,91.85,0.0,0.0,0.0,0.0,none
2022-01-02 00:00:00,0.8,0.8,94.57,0.0,0.0,0.0,0.0,none
2022-01-02 01:00:00,0.6,0.6,95.04,0.7,0.0,0.0,0.0,none
2022-01-02 02:00:00,0.7,0.7,91.0,0.7,0.0,0.0,0.0,none
2022-01-02 03:00:00,0.0,0.0,95.13,0.9,0.0,0.0,0.0,none
2022-01-02 04:00:00,-0.6,-0.6,96.0,0.5,0.0,0.0,0.0,none
2022-01-02 05:00:00,-1.2,-3.4,99.2,6.1,0.0,0.0,0.0,none
2022-01-02 06:00:00,0.0,-1.5,99.21,4.9,5.0,0.0,0.0,none
2022-01-02 07:00:00,-1.2,-1.2,99.28,0.9,2.5,0.0,0.0,none
2022-01-02 08:00:00,-0.7,-0.7,99.28,0.7,0.0,22.0,0.0,none
2022-01-02 09:00:00,1.7,1.7,92.18,0.7,0.0,137.0,0.0,none
2022-01-02 10:00:00,5.5,4.5,81.94,5.4,0.0,329.0,0.0,none
2022-01-02 11:00:00,7.7,7.7,70.93,0.0,0.0,431.0,0.0,none
2022-01-02 12:00:00,8.8,8.8,68.63,0.5,0.0,494.0,0.0,none
2022-01-02 13:00:00,9.4,9.4,66.15,0.0,0.0,533.0,0.0,none
2022-01-02 14:00:00,10.5,10.5,63.35,0.7,2.5,320.0,0.0,none
2022-01-02 15:00:00,9.9,9.0,65.92,7.9,5.0,323.0,0.0,none
2022-01-02 16:00:00,9.9,9.9,68.26,0.0,8.7,64.0,0.0,none
2022-01-02 17:00:00,8.8,8.8,72.89,0.0,8.7,17.0,0.0,none
2022-01-02 18:00:00,6.8,6.0,81.07,5.6,8.7,0.0,0.0,none
2022-01-02 19:00:00,5.8,5.8,87.54,0.0,8.7,0.0,0.0,none
2022-01-02 20:00:00,4.0,4.0,95.67,0.0,8.7,0.0,0.0,none
2022-01-02 21:00:00,3.4,3.4,95.45,0.0,2.5,0.0,0.0,none
2022-01-02 22:00:00,2.9,2.9,98.88,0.0,5.0,0.0,0.0,none
2022-01-02 23:00:00,2.8,2.8,99.65,0.0,0.0,0.0,0.0,none
2022-01-03 00:00:00,2.4,2.4,98.95,0.7,0.0,0.0,0.0,none
2022-01-03 01:00:00,2.2,0.3,95.41,6.8,0.0,0.0,0.0,none
2022-01-03 02:00:00,1.9,1.9,98.87,0.0,0.0,0.0,0.0,none
2022-01-03 03:00:00,0.9,0.9,99.22,0.5,5.0,0.0,0.0,none
2022-01-03 04:00:00,0.4,0.4,98.51,0.5,8.7,0.0,0.0,none
2022-01-03 05:00:00,0.3,0.3,98.43,0.7,8.7,0.0,0.0,none
2022-01-03 06:00:00,0.9,0.9,98.44,0.7,9.9,0.0,0.0,none
2022-01-03 07:00:00,2.3,0.1,95.34,7.7,8.7,0.0,0.0,none
2022-01-03 08:00:00,2.9,0.0,91.2,11.2,8.7,13.0,0.0,none
2022-01-03 09:00:00,4.5,1.5,84.93,13.0,34.3,139.0,0.0,none
2022-01-03 10:00:00,7.2,4.7,76.13,13.0,100.0,373.0,0.0,none
2022-01-03 11:00:00,8.8,6.3,73.13,16.4,100.0,308.0,0.0,none
2022-01-03 12:00:00,9.4,7.1,73.88,15.1,89.9,299.0,0.0,none
2022-01-03 13:00:00,10.7,10.7,70.87,8.5,100.0,207.0,0.0,none
2022-01-03 14:00:00,11.1,11.1,68.56,13.3,100.0,176.0,0.0,none
2022-01-03 15:00:00,11.7,11.7,68.74,17.1,100.0,149.0,0.0,none
2022-01-03 16:00:00,11.7,11.7,71.13,20.9,98.8,78.0,0.0,none
2022-01-03 17:00:00,11.7,11.7,71.13,20.7,100.0,20.0,0.0,none
2022-01-03 18:00:00,11.7,11.7,71.7,20.9,100.0,0.0,0.0,none
2022-01-03 19:00:00,11.1,11.1,74.37,28.9,100.0,0.0,0.0,none
2022-01-03 20:00:00,10.1,10.1,82.23,23.4,100.0,0.0,0.0,none
2022-01-03 21:00:00,10.0,7.3,86.23,20.5,100.0,0.0,0.27,rain
2022-01-03 22:00:00,10.7,10.7,74.02,19.1,100.0,0.0,0.0,none
2022-01-03 23:00:00,10.7,10.7,73.48,20.7,100.0,0.0,0.0,none
2022-01-04 00:00:00,10.7,10.7,74.02,14.9,100.0,0.0,0.0,none
2022-01-04 01:00:00,10.1,10.1,79.73,13.1,100.0,0.0,0.0,none
2022-01-04 02:00:00,10.6,10.6,74.36,11.5,8.7,0.0,0.0,none
2022-01-04 03:00:00,10.1,10.1,80.0,13.3,9.9,0.0,0.0,none
2022-01-04 04:00:00,10.0,8.7,82.9,9.4,100.0,0.0,0.0,none
2022-01-04 05:00:00,10.0,8.5,80.7,10.8,100.0,0.0,0.0,none
2022-01-04 06:00:00,10.1,10.1,74.91,9.4,100.0,0.0,0.0,none
2022-01-04 07:00:00,10.0,9.4,75.0,6.1,100.0,0.0,0.0,none
2022-01-04 08:00:00,10.0,8.9,75.0,8.6,98.8,3.0,0.0,none
2022-01-04 09:00:00,10.6,10.6,74.36,12.6,100.0,37.0,0.0,none
2022-01-04 10:00:00,10.7,10.7,76.64,13.0,89.9,71.0,0.0,none
2022-01-04 11:00:00,11.3,11.3,79.81,21.4,89.9,109.0,0.0,none
2022-01-04 12:00:00,12.8,12.8,82.14,9.9,100.0,132.0,0.0,none
2022-01-04 13:00:00,13.3,13.3,79.77,13.3,89.9,196.0,0.0,none
2022-01-04 14:00:00,13.4,13.4,83.06,8.5,100.0,239.0,0.0,none
2022-01-04 15:00:00,13.8,13.8,80.66,11.5,100.0,123.0,0.0,none
2022-01-04 16:00:00,13.8,13.8,81.03,9.4,100.0,95.0,0.0,none
2022-01-04 17:00:00,13.3,13.3,83.32,7.7,53.8,33.0,0.0,none
2022-01-04 18:00:00,12.8,12.8,86.42,0.0,100.0,1.0,0.0,none
2022-01-04 19:00:00,11.3,11.3,95.59,8.1,89.9,0.0,0.0,none
2022-01-04 20:00:00,11.8,11.8,92.89,0.0,88.7,0.0,0.0,none
2022-01-04 21:00:00,11.8,11.8,92.46,5.6,89.9,0.0,0.0,none
2022-01-04 22:00:00,11.1,11.1,95.91,9.4,100.0,0.0,0.0,none
2022-01-04 23:00:00,11.2,11.2,95.91,7.6,100.0,0.0,0.0,none
2022-01-05 00:00:00,10.7,10.7,94.98,5.6,100.0,0.0,0.0,none
2022-01-05 01:00:00,10.7,10.7,95.29,7.6,100.0,0.0,0.0,none
2022-01-05 02:00:00,10.0,9.1,99.27,7.7,100.0,0.0,0.0,none
2022-01-05 03:00:00,9.4,8.8,99.27,6.0,85.0,0.0,0.0,none
2022-01-05 04:00:00,8.9,8.3,99.33,5.8,50.0,0.0,0.0,none
2022-01-05 05:00:00,8.8,8.2,99.67,5.8,33.1,0.0,0.0,none
2022-01-05 06:00:00,8.4,7.2,99.33,7.7,98.8,0.0,0.0,none
2022-01-05 07:00:00,7.9,6.6,99.26,7.7,8.7,0.0,0.0,none
2022-01-05 08:00:00,8.4,7.1,99.66,8.1,88.7,4.0,0.0,none
2022-01-05 09:00:00,9.9,8.9,95.88,8.1,98.8,27.0,0.0,none
2022-01-05 10:00:00,10.6,10.6,95.73,8.1,100.0,127.0,0.0,none
2022-01-05 11:00:00,11.1,11.1,96.29,7.4,100.0,371.0,0.0,none
2022-01-05 12:00:00,12.2,12.2,89.7,5.4,100.0,466.0,0.0,none
2022-01-05 13:00:00,13.3,13.3,83.59,0.7,98.8,510.0,0.0,none
2022-01-05 14:00:00,14.3,14.3,83.46,0.0,98.8,312.0,0.0,none
2022-01-05 15:00:00,15.4,15.4,75.09,0.9,8.7,346.0,0.0,none
2022-01-05 16:00:00,13.6,13.6,83.91,13.1,8.7,71.0,0.0,none
2022-01-05 17:00:00,12.0,12.0,90.75,12.8,9.9,16.0,0.0,none
2022-01-05 18:00:00,9.9,7.9,99.67,14.6,89.9,1.0,0.0,none
2022-01-05 19:00:00,9.9,8.3,99.67,11.3,100.0,0.0,0.0,none
2022-01-05 20:00:00,9.3,8.7,99.67,5.8,100.0,0.0,0.0,none
2022-01-05 21:00:00,8.8,7.5,99.67,8.4,100.0,0.0,0.0,none
2022-01-05 22:00:00,9.3,9.3,99.67,0.0,100.0,0.0,0.0,none
2022-01-05 23:00:00,8.8,8.8,99.67,0.0,100.0,0.0,0.0,none
2022-01-06 00:00:00,8.8,8.8,100.0,0.5,100.0,0.0,0.0,none
2022-01-06 01:00:00,8.8,8.8,100.0,0.0,100.0,0.0,0.0,none
2022-01-06 02:00:00,8.2,7.1,99.66,7.3,100.0,0.0,0.0,none
2022-01-06 03:00:00,8.8,8.8,99.6,0.0,100.0,0.0,0.0,none
2022-01-06 04:00:00,8.8,8.8,99.67,0.5,100.0,0.0,0.0,none
2022-01-06 05:00:00,8.8,8.8,99.27,0.0,100.0,0.0,0.0,none
2022-01-06 06:00:00,8.3,7.8,99.66,5.4,100.0,0.0,0.0,none
2022-01-06 07:00:00,8.3,8.3,99.66,0.0,100.0,0.0,0.0,none
2022-01-06 08:00:00,8.4,8.4,99.66,0.0,100.0,4.0,0.0,none
2022-01-06 09:00:00,8.8,8.8,99.67,0.5,100.0,34.0,0.0,none
2022-01-06 10:00:00,9.6,9.6,97.54,0.0,100.0,74.0,0.0,none
2022-01-06 11:00:00,10.0,10.0,95.5,0.7,100.0,145.0,0.0,none
2022-01-06 12:00:00,10.7,10.7,91.37,5.6,100.0,223.0,0.0,none
2022-01-06 13:00:00,11.1,11.1,92.18,7.9,100.0,385.0,0.0,none
2022-01-06 14:00:00,11.1,11.1,88.38,7.7,100.0,317.0,0.0,none
2022-01-06 15:00:00,11.7,11.7,85.77,0.9,100.0,351.0,0.0,none
2022-01-06 16:00:00,11.6,11.6,85.76,5.4,100.0,72.0,0.0,none
2022-01-06 17:00:00,11.1,11.1,88.67,5.6,100.0,16.0,0.0,none
2022-01-06 18:00:00,10.7,10.7,91.37,6.0,100.0,1.0,0.0,none
2022-01-06 19:00:00,10.6,10.6,91.79,1.3,100.0,0.0,0.0,none
2022-01-06 20:00:00,10.0,10.0,99.27,0.7,100.0,0.0,0.0,none
2022-01-06 21:00:00,10.0,9.5,99.6,5.8,100.0,0.0,0.0,none
2022-01-06 22:00:00,10.0,9.6,99.6,5.6,100.0,0.0,0.0,none
2022-01-06 23:00:00,10.0,9.4,99.27,6.1,100.0,0.0,0.0,none
2022-01-07 00:00:00,9.9,8.6,99.34,9.5,98.8,0.0,0.0,none
2022-01-07 01:00:00,9.9,8.9,99.34,8.1,98.8,0.0,0.0,none
2022-01-07 02:00:00,10.0,9.0,99.27,7.9,100.0,0.0,0.0,none
2022-01-07 03:00:00,9.9,8.3,95.56,11.5,88.7,0.0,0.0,none
2022-01-07 04:00:00,10.5,10.5,95.79,5.8,100.0,0.0,0.0,none
2022-01-07 05:00:00,10.0,8.6,95.5,9.9,100.0,0.0,0.0,none
2022-01-07 06:00:00,10.1,10.1,98.81,8.3,100.0,0.0,0.0,none
2022-01-07 07:00:00,10.1,10.1,98.81,8.5,100.0,0.0,0.0,none
2022-01-07 08:00:00,10.1,10.1,99.14,11.7,100.0,6.0,0.5,rain
2022-01-07 09:00:00,10.7,10.7,95.29,11.7,100.0,23.0,0.48,rain
2022-01-07 10:00:00,10.7,10.7,94.98,11.9,100.0,46.0,0.0,none
2022-01-07 11:00:00,11.2,11.2,91.81,10.3,100.0,60.0,0.0,none
2022-01-07 12:00:00,11.8,11.8,84.87,13.5,100.0,64.0,0.0,none
2022-01-07 13:00:00,11.8,11.8,88.51,11.9,100.0,78.0,0.0,none
2022-01-07 14:00:00,12.2,12.2,85.93,13.3,100.0,58.0,0.0,none
2022-01-07 15:00:00,12.3,12.3,85.93,10.3,98.8,34.0,0.0,none
2022-01-07 16:00:00,12.8,12.8,85.75,14.1,95.0,30.0,0.0,none
2022-01-07 17:00:00,12.2,12.2,85.93,8.6,2.5,13.0,0.0,none
2022-01-07 18:00:00,11.1,11.1,88.38,8.3,2.5,1.0,0.0,none
2022-01-07 19:00:00,10.6,10.6,88.75,8.3,2.5,0.0,0.0,none
2022-01-07 20:00:00,9.4,8.2,93.1,8.5,2.5,0.0,0.0,none
2022-01-07 21:00:00,9.4,8.7,93.16,6.1,2.5,0.0,0.0,none
2022-01-07 22:00:00,8.3,7.8,95.95,5.4,0.0,0.0,0.0,none
2022-01-07 23:00:00,7.9,7.9,95.04,0.5,0.0,0.0,0.0,none
2022-01-08 00:00:00,6.3,5.3,99.25,5.6,0.0,0.0,0.0,none
2022-01-08 01:00:00,5.0,5.0,99.59,0.0,92.2,0.0,0.0,none
2022-01-08 02:00:00,4.0,4.0,99.51,0.7,89.9,0.0,0.0,none
2022-01-08 03:00:00,5.2,5.2,99.59,0.7,100.0,0.0,0.0,none
2022-01-08 04:00:00,6.8,5.3,99.66,7.6,100.0,0.0,0.0,none
2022-01-08 05:00:00,6.3,4.0,99.59,11.3,100.0,0.0,0.0,none
2022-01-08 06:00:00,7.3,6.5,100.0,5.8,100.0,0.0,0.0,none
2022-01-08 07:00:00,7.9,7.3,99.66,5.4,100.0,0.0,0.0,none
2022-01-08 08:00:00,8.4,7.9,99.47,5.4,100.0,43.0,0.0,none
2022-01-08 09:00:00,9.4,8.7,99.67,6.0,100.0,134.0,0.0,none
2022-01-08 10:00:00,10.1,10.1,95.06,13.0,98.8,288.0,0.0,none
2022-01-08 11:00:00,11.7,11.7,88.8,14.6,88.7,358.0,0.0,none
2022-01-08 12:00:00,12.2,12.2,85.64,14.4,88.7,387.0,0.0,none
2022-01-08 13:00:00,13.8,13.8,74.27,17.0,53.8,404.0,0.0,none
2022-01-08 14:00:00,13.8,13.8,71.81,18.8,26.8,299.0,0.0,none
2022-01-08 15:00:00,13.8,13.8,71.06,20.3,2.5,284.0,0.0,none
2022-01-08 16:00:00,13.3,13.3,70.96,11.2,2.5,61.0,0.0,none
2022-01-08 17:00:00,12.2,12.2,71.75,12.8,0.0,13.0,0.0,none
2022-01-08 18:00:00,10.0,9.1,82.28,7.7,0.0,1.0,0.0,none
2022-01-08 19:00:00,8.3,8.3,88.64,0.7,0.0,0.0,0.0,none
2022-01-08 20:00:00,6.8,6.8,95.09,0.9,0.0,0.0,0.0,none
2022-01-08 21:00:00,6.1,6.1,95.74,1.1,0.0,0.0,0.0,none
2022-01-08 22:00:00,5.8,5.8,98.37,0.0,0.0,0.0,0.0,none
2022-01-08 23:00:00,5.2,2.9,98.36,10.1,0.0,0.0,0.0,none
2022-01-09 00:00:00,6.2,4.3,95.75,9.4,0.0,0.0,0.0,none
2022-01-09 01:00:00,6.7,5.3,95.8,7.3,0.0,0.0,0.0,none
2022-01-09 02:00:00,5.0,5.0,99.59,0.0,0.0,0.0,0.0,none
2022-01-09 03:00:00,3.8,3.8,99.65,0.0,24.3,0.0,0.0,none
2022-01-09 04:00:00,3.2,1.9,99.65,5.4,95.0,0.0,0.0,none
2022-01-09 05:00:00,2.2,0.1,99.65,7.3,34.3,0.0,0.0,none
2022-01-09 06:00:00,2.2,2.2,99.65,0.0,53.8,0.0,0.0,none
2022-01-09 07:00:00,2.3,2.3,99.65,0.7,5.0,0.0,0.0,none
2022-01-09 08:00:00,2.8,2.8,99.65,0.9,5.0,23.0,0.0,none
2022-01-09 09:00:00,4.8,4.8,100.0,1.1,9.9,104.0,0.0,none
2022-01-09 10:00:00,7.1,4.9,90.04,11.7,5.0,285.0,0.0,none
2022-01-09 11:00:00,7.9,6.1,89.01,9.7,8.7,427.0,0.0,none
2022-01-09 12:00:00,10.1,10.1,79.73,11.3,2.5,506.0,0.0,none
2022-01-09 13:00:00,12.2,12.2,72.04,12.6,2.5,554.0,0.0,none
2022-01-09 14:00:00,13.3,13.3,67.1,11.2,2.5,437.0,0.0,none
2022-01-09 15:00:00,13.8,13.8,60.82,11.0,0.0,393.0,0.0,none
2022-01-09 16:00:00,12.8,12.8,64.5,13.0,0.0,84.0,0.0,none
2022-01-09 17:00:00,10.7,10.7,76.64,7.3,2.5,15.0,0.0,none
2022-01-09 18:00:00,9.4,9.4,83.88,0.7,2.5,1.0,0.0,none
2022-01-09 19:00:00,8.2,7.6,89.43,5.4,0.0,0.0,0.0,none
2022-01-09 20:00:00,5.1,3.4,96.05,7.3,0.0,0.0,0.0,none
2022-01-09 21:00:00,6.1,6.1,99.18,0.7,2.5,0.0,0.0,none
2022-01-09 22:00:00,5.7,5.7,99.11,0.7,2.5,0.0,0.0,none
2022-01-09 23:00:00,4.5,4.5,99.17,0.5,5.0,0.0,0.0,none
2022-01-10 00:00:00,4.3,4.3,99.65,0.0,13.7,0.0,0.0,none
2022-01-10 01:00:00,3.4,3.4,99.65,0.0,84.4,0.0,0.0,none
2022-01-10 02:00:00,3.9,3.9,99.31,3.6,8.7,0.0,0.0,none
2022-01-10 03:00:00,5.0,3.3,99.59,7.6,8.7,0.0,0.0,none
2022-01-10 04:00:00,5.6,5.6,99.59,0.5,8.7,0.0,0.0,none
2022-01-10 05:00:00,5.7,4.6,99.52,5.6,53.8,0.0,0.0,none
2022-01-10 06:00:00,6.7,4.7,99.19,9.5,88.7,0.0,0.0,none
2022-01-10 07:00:00,5.7,4.6,98.77,5.8,8.7,0.0,0.0,none
2022-01-10 08:00:00,5.7,4.6,94.78,5.8,88.7,5.0,0.0,none
2022-01-10 09:00:00,8.3,7.1,86.32,7.7,8.7,90.0,0.0,none
2022-01-10 10:00:00,9.0,6.9,82.9,13.0,88.7,227.0,0.0,none
2022-01-10 11:00:00,12.7,12.7,64.48,10.8,50.0,449.0,0.0,none
2022-01-10 12:00:00,14.3,14.3,54.36,9.5,2.5,494.0,0.0,none
2022-01-10 13:00:00,14.4,14.4,64.23,13.0,2.5,538.0,0.0,none
2022-01-10 14:00:00,15.7,15.7,52.84,11.2,2.5,418.0,0.0,none
2022-01-10 15:00:00,16.1,16.1,49.77,14.4,5.0,387.0,0.0,none
2022-01-10 16:00:00,15.0,15.0,49.97,11.2,2.5,87.0,0.0,none
2022-01-10 17:00:00,13.7,13.7,56.57,7.7,0.0,15.0,0.0,none
2022-01-10 18:00:00,11.5,11.5,71.97,7.9,0.0,1.0,0.0,none
2022-01-10 19:00:00,10.1,10.1,78.88,0.7,0.0,0.0,0.0,none
2022-01-10 20:00:00,8.3,8.3,85.33,0.7,0.0,0.0,0.0,none
2022-01-10 21:00:00,7.2,7.2,91.5,0.7,0.0,0.0,0.0,none
2022-01-10 22:00:00,5.8,5.8,94.45,0.0,0.0,0.0,0.0,none
2022-01-10 23:00:00,5.1,5.1,94.54,0.5,2.5,0.0,0.0,none
2022-01-11 00:00:00,5.1,5.1,98.77,0.5,5.0,0.0,0.0,none
2022-01-11 01:00:00,3.8,3.8,98.89,0.0,5.0,0.0,0.0,none
2022-01-11 02:00:00,4.0,4.0,95.8,0.0,5.0,0.0,0.0,none
2022-01-11 03:00:00,3.4,3.4,96.19,0.0,5.0,0.0,0.0,none
2022-01-11 04:00:00,3.3,3.3,96.86,0.0,5.0,0.0,0.0,none
2022-01-11 05:00:00,2.9,2.9,99.23,0.0,8.7,0.0,0.0,none
2022-01-11 06:00:00,2.9,2.9,99.23,0.5,8.7,0.0,0.0,rain
2022-01-11 07:00:00,2.9,2.9,95.25,0.0,8.7,0.0,0.0,rain
